7-14 21:53:15,166 : __main__ : ERROR : 127.0.0.1 : T0392511G - Patient T0392511G failed to log in: Incorrect password
2021-07-20 00:05:55,345 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:08:14,122 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:08:33,780 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:08:35,584 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:11:11,972 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:11:14,465 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:11:15,323 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:13:49,275 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:14:25,356 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:19:48,019 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:19:49,804 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:20:07,935 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:20:10,100 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:20:13,423 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:21:18,266 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:21:25,254 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:23:44,408 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:24:51,879 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:24:56,543 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:25:03,408 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:26:47,288 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:26:53,539 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:27:09,006 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:27:42,986 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:27:46,444 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:27:58,954 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:28:02,238 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:28:06,387 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:28:10,435 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:31:27,218 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:34:42,090 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:34:44,474 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:34:46,910 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:34:50,264 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:34:59,680 : __main__ : WARNING  : 127.0.0.1       : T5739128U - Admin T5739128U has had error in -Log Monitoring- admin functionality
2021-07-20 00:35:01,092 : __main__ : WARNING  : 127.0.0.1       : T5739128U - Admin T5739128U has had error in -Log Monitoring- admin functionality
2021-07-20 00:35:40,508 : __main__ : WARNING  : 127.0.0.1       : T5739128U - Admin T5739128U has had error in -Log Monitoring- admin functionality
2021-07-20 00:36:14,896 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:38:58,611 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:39:02,335 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:39:05,670 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:39:08,669 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:45:28,740 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:46:50,913 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:46:54,538 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:46:57,891 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:50:29,304 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:50:31,291 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used the -Log Monitoring- admin functionality
2021-07-20 00:50:38,370 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has had error in -Log Monitoring- admin functionality
